"variable_id","mz","rt","mzmin","mzmax","rtmin","rtmax","ms2_files_id","ms2_spectrum_id","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database","Level","logFC","AveExpr","t","P.Value","adj.P.Val","B","control1","control2","control3","MethiocarbB1","MethiocarbB2","MethiocarbB3","Significance"
"M364T80_1_POS",364.065213557576,79.5425720214844,364.065139741973,364.065359807758,77.5605,80.093635559082,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz364.06534457rt91.0384","Guanosine 5'-monophosphate","85-32-5","HMDB01397","C00144","NO05217","(M+H)+",0.111425000000054,0.999972410312547,NA,NA,"25",0.704781893558521,0.81547833734128,"NIST_0.0.1",2,-0.176330169554806,8.27714484734056,-2.90380682893773,0.0242994879279614,0.183196239137376,-3.39364756592593,195170774.108059,250884139.161474,254707542.40832,147188885.769906,159469227.453887,157176415.321706,"Down"
"M366T449_POS",366.262599059557,449.485041137695,366.261818218788,366.263186077863,448.232360839844,451.818267822266,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz366.26248656rt454.163","LAUROYLCARNITINE",NA,NA,NA,"EMBL-MCF_spec120532","(M+Na)+",2.31973999987645,0.988113007070658,NA,NA,"35.0 eV",0.540000401432687,0.708042628546926,"MoNA_2022-04-27",2,-0.351545035042594,6.10308422797239,-4.09706390937212,0.00515978868268809,0.106858311191601,-1.83610822001935,1872174.70826552,1691968.8137833,2166863.27311446,694085.905403702,708537.618544641,1230719.24744451,"Down"
"M379T651_POS",379.273920501662,650.840881347656,379.273696950767,379.274049014706,649.014,655.675720214844,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz379.28132232rt677.542","MAG",NA,NA,NA,"EMBL-MCF_spec325926","(M+Na)+",1.59359999997832,0.994372425656189,NA,NA,"20.0 eV",0.671457714672134,0.792550731291155,"MoNA_2022-04-27",2,-0.422659457441346,6.59304773600682,-4.37377530860591,0.00371331776281001,0.0994137996439971,-1.50669785873768,4096766.04752103,7396799.36605947,8543727.56975749,2805477.83704057,2375901.71360678,2095649.79349618,"Down"
"M379T667_POS",379.283536276464,667.337524414062,379.283454396666,379.283654329837,665.534,671.571655273438,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz379.28352342rt664.743","1-Arachidonoylglycerol","35474-99-8",NA,NA,"NO05564","(M+H)+",1.94144999994705,0.991658919024397,NA,NA,"45",0.755257522257736,0.843908046045234,"NIST_0.0.1",2,-0.33195236971599,7.994380261767,-3.54070290197508,0.0103539651938418,0.132646959753769,-2.53660159143054,93321204.8882428,172797784.924848,187737414.04029,59208660.7321687,70567349.1895627,73151492.1375221,"Down"
"M380T638_POS",380.255863824051,637.986724853516,380.255814849545,380.256141496017,636.445739746094,640.820556640625,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz380.25582506rt633.845","D-erythro-Sphingosine-1-phosphate","26993-30-6","HMDB00277","C06124","NO05577","(M+H)+",0.687349999992648,0.9989506620017,NA,NA,"30",0.692406275930394,0.807360420707134,"NIST_0.0.1",2,-0.234010732036553,6.40492986656468,-2.77010052745363,0.029263154075268,0.195899602913875,-3.57917631568837,4913376.19762997,2812432.07869707,2662831.20245587,1949612.72506882,1913209.66107079,1959126.98024457,"Down"
"M385T92_POS",385.128819230954,91.7688140869141,385.128676808684,385.128854824322,90.8251419067383,92.0375213623047,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz385.1288rt92.5707","S-Adenosylhomocysteine","979-92-0","HMDB0000939","C00021","HMDB0000939_16_shen","(M+H)+",0.221174999950335,0.999891298395996,NA,NA,"30",0.722633421936288,0.826605125608678,"HMDB_2022-04-11",2,0.19513190675189,6.63182283845418,3.43316270232313,0.0119098878878809,0.139259486431336,-2.67756740251741,3793673.83428329,3255787.13403227,3243804.43651307,5506885.86644614,4982568.65102364,5620914.88098737,"Up"
"M391T712_POS",391.283825306078,712.400482177734,391.283795373,391.283863431684,708.920593261719,713.920837402344,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz391.28365855rt699.832","Bis(2-ethylhexyl) phthalate","117-81-7","HMDB0249243","C03690","SM818501","(M+H)+",1.6286250000519,0.994123071789029,NA,NA,"35  (nominal)",0.688814827319422,0.803305418995525,"MassBank_2022-04-27",2,-0.241746712248444,8.75462636207077,-3.38733713101655,0.0126485729975916,0.142864630813397,-2.73814473554985,877783959.116014,797180081.209706,604721035.206746,362575590.030864,489268702.566004,449068941.735953,"Down"
"M394T299_POS",394.231367720253,298.821807861328,394.230825866779,394.250193877572,292.869781494141,302.598449707031,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz394.23170133rt299.981","Retreversine","1028332-91-3",NA,NA,"NO05860","(M+H)+",8.246674999981,0.859737552431067,NA,NA,"25",0.545191433090315,0.663146227843097,"NIST_0.0.1",2,0.489117371332366,6.65984828453695,3.02469895771142,0.0205789655713349,0.172078558181173,-3.22725803738034,2209055.70345876,3095720.28715759,2575730.47389793,10693296.2045215,14353026.880683,3366400.75425892,"Up"
"M400T598_2_POS",400.341589651962,597.889526367188,400.341509782517,400.341712861546,588.753540039062,602.512268066406,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz400.34142871rt596.542","Palmitoyl-L-carnitine","2364-67-2","HMDB00222","C02990","NO05957","(M+H)+",1.92658052521333,0.991785673435807,NA,NA,"40",0.816705689590199,0.882360683532302,"NIST_0.0.1",2,-0.360332202275239,8.14173888674528,-4.26137643821667,0.00423832476901652,0.101988424533665,-1.63894891853578,290741595.576862,193723773.147745,164068374.349283,81739308.9809225,84328465.0328038,111253376.27733,"Down"
"M405T440_POS",405.224242592246,439.835510253906,405.224017709666,405.224445274876,438.519775390625,442.276580810547,"control1.mzXML;control2.mzXML;control3.mzXML;MethiocarbB1.mzXML;MethiocarbB2.mzXML;MethiocarbB3.mzXML","mz405.22440437rt441.493","Hydrocortisonacetate",NA,NA,NA,"AU282801","(M+H)+",6.87108172649672,0.900401025226247,NA,NA,"10 eV",0.563981419829834,0.690138771853489,"MassBank_2022-04-27",2,0.411681830716974,7.01924500244989,3.95331784354813,0.0061493399004778,0.113833545319516,-2.01228775102986,5024389.52956468,5118592.52895755,10714660.1592565,13938075.6768557,18670465.0675157,18192810.6404194,"Up"
